Name,CITIES API
Type,Geographic
Frequency,Daily
Date range,Last 7 days
Dates,"Sep 6, 2012-Sep 12, 2012"
Account,Day,Network,Country/Territory,Campaign,City,Region,Impressions,Clicks,Cost
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Sausalito,California,1,0,0.01
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Sonoma,California,2,0,0.01
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,South San Francisco,California,9,0,0.04
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Stanford,California,12,0,0.06
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Sunnyvale,California,46,0,0.21
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Sunol,California,1,0,0.00
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Union City,California,2,0,0.01
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Vallejo,California,6,0,0.03
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Walnut Creek,California,73,0,0.31
Jacob Capital,2012-09-06,Display Network,United States,SKSPGDN001,Windsor,California,1,0,0.00
Jacob Capital,2012-09-06,Display Network,United States,AZSOLARRTG,San Francisco,California,28,0,0.07
Jacob Capital,2012-09-07,Display Network,United States,CTVN01_RTG,Unspecified City,California,1,0,0.00
Jacob Capital,2012-09-07,Display Network,United States,CTVN01_RTG,Berkeley,California,4,0,0.01
Jacob Capital,2012-09-07,Display Network,United States,CTVN01_RTG,Brentwood,California,3,0,0.01
Jacob Capital,2012-09-07,Display Network,United States,CTVN01_RTG,Campbell,California,4,0,0.01
Jacob Capital,2012-09-07,Display Network,United States,CTVN01_RTG,Cupertino,California,10,0,0.03
Jacob Capital,2012-09-07,Display Network,United States,CTVN01_RTG,Dublin,California,2,0,0.01
Jacob Capital,2012-09-07,Display Network,United States,CTVN01_RTG,Fremont,California,9,0,0.03
Jacob Capital,2012-09-07,Display Network,United States,CTVN01_RTG,Los Altos,California,1,0,0.00
Jacob Capital,2012-09-07,Display Network,United States,CTVN01_RTG,Los Gatos,California,2,0,0.01
Jacob Capital,2012-09-07,Display Network,United States,CTVN01_RTG,Menlo Park,California,5,0,0.01
Jacob Capital,2012-09-07,Display Network,United States,CTVN01_RTG,Milpitas,California,8,0,0.03
Jacob Capital,2012-09-07,Display Network,United States,CTVN01_RTG,Mountain View,California,27,0,0.08
Jacob Capital,2012-09-07,Display Network,United States,CTVN01_RTG,Oakland,California,3,0,0.01
Jacob Capital,2012-09-07,Display Network,United States,CTVN01_RTG,Palo Alto,California,11,0,0.03
Jacob Capital,2012-09-07,Display Network,United States,CTVN01_RTG,Pleasant Hill,California,1,0,0.00
Jacob Capital,2012-09-07,Display Network,United States,CTVN01_RTG,Pleasanton,California,4,0,0.01
Jacob Capital,2012-09-07,Display Network,United States,CTVN01_RTG,Redwood City,California,8,0,0.02
Jacob Capital,2012-09-07,Display Network,United States,CTVN01_RTG,San Anselmo,California,1,0,0.00
Jacob Capital,2012-09-07,Display Network,United States,CTVN01_RTG,San Bruno,California,1,0,0.00
Jacob Capital,2012-09-07,Display Network,United States,CTVN01_RTG,San Carlos,California,2,0,0.01
Jacob Capital,2012-09-07,Display Network,United States,CTVN01_RTG,San Francisco,California,21,1,0.06
Jacob Capital,2012-09-07,Display Network,United States,CTVN01_RTG,San Jose,California,80,0,0.24
Jacob Capital,2012-09-07,Display Network,United States,CTVN01_RTG,San Leandro,California,2,0,0.01
Jacob Capital,2012-09-07,Display Network,United States,CTVN01_RTG,San Mateo,California,4,0,0.01
Jacob Capital,2012-09-07,Display Network,United States,CTVN01_RTG,San Ramon,California,3,0,0.01
Jacob Capital,2012-09-07,Display Network,United States,CTVN01_RTG,Santa Clara,California,34,0,0.09
Jacob Capital,2012-09-07,Display Network,United States,CTVN01_RTG,Santa Rosa,California,1,0,0.00
Jacob Capital,2012-09-07,Display Network,United States,CTVN01_RTG,Saratoga,California,2,0,0.01
Jacob Capital,2012-09-07,Display Network,United States,CTVN01_RTG,Sonoma,California,1,0,0.00
Jacob Capital,2012-09-07,Display Network,United States,CTVN01_RTG,South San Francisco,California,2,0,0.01
Jacob Capital,2012-09-07,Display Network,United States,CTVN01_RTG,Stanford,California,3,0,0.01
Jacob Capital,2012-09-07,Display Network,United States,CTVN01_RTG,Sunnyvale,California,64,0,0.18
Jacob Capital,2012-09-07,Display Network,United States,CTVN01_RTG,Union City,California,2,0,0.00
Jacob Capital,2012-09-07,Display Network,United States,CTVN01_RTG,Vallejo,California,1,0,0.00
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Unspecified City,California,5,0,0.02
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Alameda,California,7,0,0.02
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Albany,California,5,0,0.02
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Antioch,California,4,0,0.01
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Atherton,California,1,0,0.00
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Belmont,California,3,0,0.02
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Benicia,California,3,0,0.01
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Berkeley,California,21,1,0.09
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Brentwood,California,2,0,0.01
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Burlingame,California,3,0,0.02
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Calistoga,California,1,0,0.00
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Campbell,California,1,0,0.00
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Concord,California,26,0,0.13
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Corte Madera,California,7,0,0.03
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Cupertino,California,9,0,0.03
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Daly City,California,5,0,0.02
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Danville,California,6,0,0.03
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Dublin,California,4,0,0.01
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Emeryville,California,4,0,0.02
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Fairfax,California,1,0,0.01
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Forestville,California,1,0,0.00
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Fremont,California,10,0,0.04
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Gilroy,California,1,0,0.01
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Half Moon Bay,California,1,0,0.01
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Hayward,California,6,0,0.02
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Hercules,California,1,0,0.00
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Kentfield,California,7,0,0.03
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Lafayette,California,13,1,0.07
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Larkspur,California,2,0,0.01
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Livermore,California,2,0,0.01
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Los Altos,California,7,0,0.03
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Los Gatos,California,4,0,0.02
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Marshall,California,1,0,0.00
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Menlo Park,California,31,0,0.14
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Mill Valley,California,27,0,0.13
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Millbrae,California,2,0,0.01
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Milpitas,California,3,0,0.02
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Moraga,California,6,0,0.02
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Morgan Hill,California,2,0,0.01
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Mountain View,California,42,0,0.19
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Napa,California,1,0,0.00
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Newark,California,2,0,0.01
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Novato,California,7,0,0.04
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Oakland,California,41,0,0.18
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Oakley,California,1,0,0.01
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Occidental,California,1,0,0.00
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Orinda,California,1,0,0.01
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Pacifica,California,2,0,0.00
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Palo Alto,California,103,0,0.50
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Petaluma,California,1,0,0.00
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Piedmont,California,1,0,0.01
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Pittsburg,California,1,0,0.01
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Pleasant Hill,California,7,0,0.03
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Pleasanton,California,7,0,0.03
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Portola Valley,California,1,0,0.01
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Redwood City,California,17,0,0.08
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Richmond,California,1,0,0.00
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Rohnert Park,California,1,0,0.00
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,Ross,California,3,0,0.02
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,San Anselmo,California,2,0,0.01
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,San Bruno,California,2,0,0.01
Jacob Capital,2012-09-07,Display Network,United States,SKSPGDN001,San Carlos,California,9,0,0.04
